"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: MATRIX_SIZE","Param: NUM_THREADS"
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"134,000000",NaN,"ms",100,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"1194,725304","470,024453","ms/op",1000,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"12,393517","3,655392","MB/sec",1000,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"14443537,155556","1449855,871776","B/op",1000,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"2,000000",NaN,"counts",1000,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"13,000000",NaN,"ms",1000,1
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"1240,333427","413,097552","ms/op",1000,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"11,421976","2,576547","MB/sec",1000,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"14265238,755556","1395131,518790","B/op",1000,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"5,000000",NaN,"counts",1000,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"37,000000",NaN,"ms",1000,2
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication","avgt",1,15,"1215,655720","425,735993","ms/op",1000,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate","avgt",1,15,"11,771599","2,984300","MB/sec",1000,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.alloc.rate.norm","avgt",1,15,"14265232,266667","1395132,214300","B/op",1000,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.count","avgt",1,15,"4,000000",NaN,"counts",1000,4
"org.example.BenchmarkMatrixMultiplication.vectorizedMultiplication:gc.time","avgt",1,15,"33,000000",NaN,"ms",1000,4
